OriginalExplanation,TurkishExplanation,Description,OID,Unit,ValueType,Min,Maks,DeviceModelID,CollectorUpdate
upsIdentManufacturer,?,The name of the UPS manufacturer.,1.3.6.1.2.1.33.1.1.1.0,,2,,,,
upsIdentModel,?,"The UPS Model designation.""",1.3.6.1.2.1.33.1.1.2.0,,2,,,,
upsIdentUPSSoftwareVersion,?,The UPS firmware/software version(s).  This variable may or may not have the same value as  upsIdentAgentSoftwareVersion in some implementations.,1.3.6.1.2.1.33.1.1.3.0,,2,,,,
upsIdentAgentSoftwareVersion,?,The UPS agent software version.  This variable may or may not have the same value as upsIdentUPSSoftwareVersion in some implementations.,1.3.6.1.2.1.33.1.1.4.0,,2,,,,
upsIdentName,?,A string identifying the UPS.  This object should beA string identifying the UPS.  This object should be set by the administrator.,1.3.6.1.2.1.33.1.1.5.0,,2,,,,
upsIdentAttachedDevices,?,A string identifying the devices attached to the output(s) of the UPS. This object should be set by the administrator.,1.3.6.1.2.1.33.1.1.6.0,,2,,,,
upsBatteryStatus,?,The indication of the capacity remaining in the UPSsystem's batteries.A value of batteryNormal indicates that the remaining run-time is greater than upsConfigLowBattTime.  A value of batteryLow indicates that the remaining battery run-time is less than or equal to upsConfigLowBattTime.  A value of batteryDepleted indicates that the UPS will be unable to sustain the present load when and if the utility power is lost (including the possibility that the utility power is currently absent and the UPS is unable to sustain the output).,1.3.6.1.2.1.33.1.2.1.0,,2,,,,
upsSecondsOnBattery,?,If the unit is on battery power the elapsed time    since the UPS last switched to battery power or the    time since the network management subsystem was last    restarted whichever is less.  Zero shall be returned    if the unit is not on battery power.,1.3.6.1.2.1.33.1.2.2.0,seconds,2,,,,
upsEstimatedMinutesRemaining,?,An estimate of the time to battery charge depletion    under the present load conditions if the utility power    is off and remains off or if it were to be lost and    remain off.,1.3.6.1.2.1.33.1.2.3.0,minutes,2,,,,
upsEstimatedChargeRemaining,?,An estimate of the battery charge remaining expressed as a percent of full charge,1.3.6.1.2.1.33.1.2.4.0,%,2,,,,
upsBatteryVoltage,?,The magnitude of the present battery voltage.,1.3.6.1.2.1.33.1.2.5.0,0.1 Volt D,2,,,,
upsBatteryCurrent,?,The present battery current.,1.3.6.1.2.1.33.1.2.6.0,0.1 Amp DC,2,,,,
upsBatteryTemperature ,?,The ambient temperature at or near the UPS Battery casing,1.3.6.1.2.1.33.1.2.7.0,Santigrad,2,,,,
 upsInputLineBads,?,A count of the number of times the input entered an    out-of-tolerance condition as defined by the    manufacturer.  This count is incremented by one each    time the input transitions from zero out-of-tolerance    lines to one or more input lines out-of-tolerance.,1.3.6.1.2.1.33.1.3.1.0,,2,,,,
upsInputNumLines,?,The number of input lines utilized in this device.This variable indicates the number of rows in the input table.,1.3.6.1.2.1.33.1.3.2.0,,2,,,,
upsInputFrequency,?,The present input frequency.,1.3.6.1.2.1.33.1.3.3.1.2.0,0.1 Hertz,2,,,,
upsInputVoltage,?,The magnitude of the present input voltage.,1.3.6.1.2.1.33.1.3.3.1.3.0,RMS Volts,2,,,,
upsInputCurrent,?,The magnitude of the present input current.,1.3.6.1.2.1.33.1.3.3.1.4.0,0.1 RMS Amp,2,,,,
